,Time,mV,ppb
0,04/14/24:12:47:44,285.535,511
1,04/14/24:12:47:45,286.22,512
2,04/14/24:12:47:46,286.665,513
3,04/14/24:12:47:47,286.783,513
4,04/14/24:12:47:48,286.772,513
5,04/14/24:12:47:49,286.679,513
6,04/14/24:12:47:50,286.541,513
7,04/14/24:12:47:51,286.379,512
8,04/14/24:12:47:53,286.271,512
9,04/14/24:12:47:54,286.195,512
10,04/14/24:12:47:55,286.156,512
11,04/14/24:12:47:56,286.168,512
12,04/14/24:12:47:57,286.225,512
13,04/14/24:12:47:58,286.316,512
14,04/14/24:12:47:59,286.437,512
15,04/14/24:12:48:00,286.633,513
16,04/14/24:12:48:01,286.833,513
17,04/14/24:12:48:02,287.044,514
18,04/14/24:12:48:03,287.283,514
19,04/14/24:12:48:04,287.545,515
20,04/14/24:12:48:05,287.825,515
21,04/14/24:12:48:06,288.088,516
22,04/14/24:12:48:07,288.388,516
23,04/14/24:12:48:08,288.713,517
24,04/14/24:12:48:09,289.029,518
25,04/14/24:12:48:10,289.378,518
26,04/14/24:12:48:11,289.736,519
27,04/14/24:12:48:12,290.075,520
28,04/14/24:12:48:13,290.431,520
29,04/14/24:12:48:14,290.759,521
30,04/14/24:12:48:16,291.112,522
31,04/14/24:12:48:17,291.48,522
32,04/14/24:12:48:18,291.867,523
33,04/14/24:12:48:19,292.252,524
34,04/14/24:12:48:20,292.616,525
35,04/14/24:12:48:21,292.969,525
36,04/14/24:12:48:22,293.341,526
37,04/14/24:12:48:23,293.721,527
38,04/14/24:12:48:24,294.076,528
39,04/14/24:12:48:25,294.437,528
40,04/14/24:12:48:26,294.801,529
41,04/14/24:12:48:27,295.19,530
42,04/14/24:12:48:28,295.56,531
43,04/14/24:12:48:29,295.965,531
44,04/14/24:12:48:30,296.364,532
45,04/14/24:12:48:31,296.707,533
46,04/14/24:12:48:32,297.054,534
47,04/14/24:12:48:33,297.407,534
48,04/14/24:12:48:34,297.749,535
49,04/14/24:12:48:35,298.066,536
50,04/14/24:12:48:36,298.387,536
51,04/14/24:12:48:38,298.745,537
52,04/14/24:12:48:39,299.078,538
53,04/14/24:12:48:40,299.405,538
54,04/14/24:12:48:41,299.741,539
55,04/14/24:12:48:42,300.058,540
56,04/14/24:12:48:43,300.383,540
57,04/14/24:12:48:44,300.742,541
58,04/14/24:12:48:45,301.063,542
59,04/14/24:12:48:46,301.404,542
60,04/14/24:12:48:47,301.733,543
61,04/14/24:12:48:48,302.032,544
62,04/14/24:12:48:49,301.746,543
63,04/14/24:12:48:50,301.54,543
64,04/14/24:12:48:51,301.646,543
65,04/14/24:12:48:52,301.86,543
66,04/14/24:12:48:53,302.139,544
67,04/14/24:12:48:54,302.477,544
68,04/14/24:12:48:55,302.835,545
69,04/14/24:12:48:56,303.202,546
70,04/14/24:12:48:57,303.554,547
71,04/14/24:12:48:58,303.891,547
72,04/14/24:12:49:00,304.25,548
73,04/14/24:12:49:01,304.597,549
74,04/14/24:12:49:02,304.966,549
75,04/14/24:12:49:03,305.311,550
76,04/14/24:12:49:04,305.63,551
77,04/14/24:12:49:05,305.928,551
78,04/14/24:12:49:06,306.23,552
79,04/14/24:12:49:07,306.526,553
80,04/14/24:12:49:08,306.832,553
81,04/14/24:12:49:09,307.113,554
82,04/14/24:12:49:10,307.338,554
83,04/14/24:12:49:11,307.567,555
84,04/14/24:12:49:12,307.801,555
85,04/14/24:12:49:13,307.997,555
86,04/14/24:12:49:14,308.205,556
87,04/14/24:12:49:15,308.404,556
88,04/14/24:12:49:16,308.588,557
89,04/14/24:12:49:17,308.79,557
90,04/14/24:12:49:18,308.961,557
91,04/14/24:12:49:19,309.114,558
92,04/14/24:12:49:20,309.258,558
93,04/14/24:12:49:22,309.42,558
94,04/14/24:12:49:23,309.586,559
95,04/14/24:12:49:24,309.728,559
96,04/14/24:12:49:25,309.886,559
97,04/14/24:12:49:26,310.034,560
98,04/14/24:12:49:27,310.18,560
99,04/14/24:12:49:28,310.32,560
100,04/14/24:12:49:29,310.445,560
101,04/14/24:12:49:30,310.569,561
102,04/14/24:12:49:31,310.709,561
103,04/14/24:12:49:32,310.845,561
104,04/14/24:12:49:33,310.98,561
105,04/14/24:12:49:34,311.099,562
106,04/14/24:12:49:35,311.218,562
107,04/14/24:12:49:36,311.331,562
108,04/14/24:12:49:37,311.468,562
109,04/14/24:12:49:38,311.582,563
110,04/14/24:12:49:39,311.679,563
111,04/14/24:12:49:40,311.769,563
112,04/14/24:12:49:41,311.849,563
113,04/14/24:12:49:42,311.96,563
114,04/14/24:12:49:44,312.036,564
115,04/14/24:12:49:45,312.103,564
116,04/14/24:12:49:46,312.189,564
117,04/14/24:12:49:47,312.24,564
118,04/14/24:12:49:48,312.311,564
119,04/14/24:12:49:49,312.372,564
120,04/14/24:12:49:50,312.424,564
121,04/14/24:12:49:51,312.471,564
122,04/14/24:12:49:52,312.511,565
123,04/14/24:12:49:53,312.555,565
124,04/14/24:12:49:54,312.604,565
125,04/14/24:12:49:55,312.662,565
126,04/14/24:12:49:56,312.688,565
127,04/14/24:12:49:57,312.718,565
128,04/14/24:12:49:58,312.734,565
129,04/14/24:12:49:59,312.741,565
130,04/14/24:12:50:00,312.773,565
131,04/14/24:12:50:01,312.791,565
132,04/14/24:12:50:02,312.807,565
133,04/14/24:12:50:03,312.827,565
134,04/14/24:12:50:05,312.845,565
135,04/14/24:12:50:06,312.865,565
136,04/14/24:12:50:07,312.853,565
137,04/14/24:12:50:08,312.852,565
138,04/14/24:12:50:09,312.864,565
139,04/14/24:12:50:10,312.871,565
140,04/14/24:12:50:11,312.878,565
141,04/14/24:12:50:12,312.867,565
142,04/14/24:12:50:13,312.863,565
143,04/14/24:12:50:14,312.862,565
144,04/14/24:12:50:15,312.867,565
145,04/14/24:12:50:16,312.891,565
146,04/14/24:12:50:17,312.875,565
147,04/14/24:12:50:18,312.85,565
148,04/14/24:12:50:19,312.834,565
149,04/14/24:12:50:20,312.801,565
150,04/14/24:12:50:21,312.77,565
151,04/14/24:12:50:22,312.759,565
152,04/14/24:12:50:23,312.753,565
153,04/14/24:12:50:24,312.755,565
154,04/14/24:12:50:25,312.772,565
155,04/14/24:12:50:26,312.78,565
156,04/14/24:12:50:27,312.778,565
157,04/14/24:12:50:29,312.765,565
158,04/14/24:12:50:30,312.754,565
159,04/14/24:12:50:31,312.77,565
160,04/14/24:12:50:32,312.764,565
161,04/14/24:12:50:33,312.732,565
162,04/14/24:12:50:34,312.722,565
163,04/14/24:12:50:35,312.715,565
164,04/14/24:12:50:36,312.703,565
165,04/14/24:12:50:37,312.695,565
166,04/14/24:12:50:38,312.681,565
167,04/14/24:12:50:39,312.662,565
168,04/14/24:12:50:40,312.637,565
169,04/14/24:12:50:41,312.622,565
170,04/14/24:12:50:42,312.598,565
171,04/14/24:12:50:43,312.583,565
172,04/14/24:12:50:44,312.574,565
173,04/14/24:12:50:45,312.567,565
174,04/14/24:12:50:46,312.519,565
175,04/14/24:12:50:47,312.481,564
176,04/14/24:12:50:48,312.456,564
177,04/14/24:12:50:50,312.429,564
178,04/14/24:12:50:51,312.404,564
179,04/14/24:12:50:52,312.385,564
180,04/14/24:12:50:53,312.369,564
181,04/14/24:12:50:54,312.33,564
182,04/14/24:12:50:55,312.319,564
183,04/14/24:12:50:56,312.31,564
184,04/14/24:12:50:57,312.302,564
185,04/14/24:12:50:58,312.293,564
186,04/14/24:12:50:59,312.305,564
187,04/14/24:12:51:00,312.294,564
188,04/14/24:12:51:01,312.288,564
189,04/14/24:12:51:02,312.271,564
190,04/14/24:12:51:03,312.242,564
191,04/14/24:12:51:04,312.24,564
192,04/14/24:12:51:05,312.257,564
193,04/14/24:12:51:06,312.252,564
194,04/14/24:12:51:07,312.258,564
195,04/14/24:12:51:08,312.249,564
196,04/14/24:12:51:09,312.23,564
197,04/14/24:12:51:10,312.213,564
198,04/14/24:12:51:11,312.209,564
199,04/14/24:12:51:13,312.2,564
200,04/14/24:12:51:14,312.189,564
201,04/14/24:12:51:15,312.193,564
202,04/14/24:12:51:16,312.157,564
203,04/14/24:12:51:17,312.146,564
204,04/14/24:12:51:18,312.128,564
205,04/14/24:12:51:19,312.111,564
206,04/14/24:12:51:20,312.099,564
207,04/14/24:12:51:21,312.075,564
208,04/14/24:12:51:22,312.061,564
209,04/14/24:12:51:23,312.062,564
210,04/14/24:12:51:24,312.049,564
211,04/14/24:12:51:25,312.027,564
212,04/14/24:12:51:26,312.009,564
213,04/14/24:12:51:27,312.001,564
214,04/14/24:12:51:28,312.007,564
215,04/14/24:12:51:29,312.001,564
216,04/14/24:12:51:30,312.002,564
217,04/14/24:12:51:31,311.992,563
218,04/14/24:12:51:32,312.001,564
219,04/14/24:12:51:33,311.98,563
220,04/14/24:12:51:34,311.975,563
221,04/14/24:12:51:36,311.973,563
222,04/14/24:12:51:37,311.979,563
223,04/14/24:12:51:38,311.983,563
224,04/14/24:12:51:39,311.972,563
225,04/14/24:12:51:40,311.951,563
226,04/14/24:12:51:41,311.933,563
227,04/14/24:12:51:42,311.927,563
228,04/14/24:12:51:43,311.903,563
229,04/14/24:12:51:44,311.872,563
230,04/14/24:12:51:45,311.897,563
231,04/14/24:12:51:46,311.887,563
232,04/14/24:12:51:47,311.889,563
233,04/14/24:12:51:48,311.871,563
234,04/14/24:12:51:49,311.885,563
235,04/14/24:12:51:50,311.9,563
236,04/14/24:12:51:51,311.888,563
237,04/14/24:12:51:52,311.89,563
238,04/14/24:12:51:53,311.925,563
239,04/14/24:12:51:54,311.923,563
240,04/14/24:12:51:55,311.924,563
241,04/14/24:12:51:56,312.004,564
242,04/14/24:12:51:57,312.079,564
243,04/14/24:12:51:58,312.178,564
244,04/14/24:12:52:00,312.319,564
245,04/14/24:12:52:01,312.468,564
246,04/14/24:12:52:02,312.594,565
247,04/14/24:12:52:03,312.739,565
248,04/14/24:12:52:04,312.885,565
249,04/14/24:12:52:05,313.033,566
250,04/14/24:12:52:06,313.163,566
251,04/14/24:12:52:07,313.315,566
252,04/14/24:12:52:08,313.46,566
253,04/14/24:12:52:09,313.586,567
254,04/14/24:12:52:10,313.7,567
255,04/14/24:12:52:11,313.795,567
256,04/14/24:12:52:12,313.916,567
257,04/14/24:12:52:13,314.013,568
258,04/14/24:12:52:14,314.092,568
259,04/14/24:12:52:15,314.174,568
260,04/14/24:12:52:16,314.263,568
261,04/14/24:12:52:17,314.343,568
262,04/14/24:12:52:18,314.423,568
263,04/14/24:12:52:19,314.526,569
264,04/14/24:12:52:20,314.599,569
265,04/14/24:12:52:21,314.698,569
266,04/14/24:12:52:22,314.784,569
267,04/14/24:12:52:23,314.878,569
